Column1,Column2,Column3,Column4,Column5,Column6,,,,
3,Best Sound Recording,1,FALSE,https://en.wikipedia.org/wiki/Franklin_Hansen,Franklin Hansen,,,,
3,Best Sound Recording,0,TRUE,https://en.wikipedia.org/wiki/Raffles_(1930_film),Raffles,,,,
3,Best Sound Recording,1,FALSE,https://en.wikipedia.org/wiki/Oscar_Lagerstrom,Oscar Lagerstrom,,,,
3,Best Sound Recording,0,TRUE,https://en.wikipedia.org/wiki/Song_of_the_Flame_(film),The Song of the Flame,,,,
3,Best Sound Recording,1,FALSE,https://en.wikipedia.org/wiki/George_Groves_(sound_engineer),George Groves,,,,
3,Best Art Direction,0,TRUE,https://en.wikipedia.org/wiki/Bulldog_Drummond_(1929_film),Bulldog Drummond,,,,
3,Best Art Direction,1,FALSE,https://en.wikipedia.org/wiki/William_Cameron_Menzies,William Cameron Menzies,,,,
3,Best Art Direction,0,TRUE,https://en.wikipedia.org/wiki/The_Love_Parade,The Love Parade,,,,
3,Best Art Direction,1,FALSE,https://en.wikipedia.org/wiki/Hans_Dreier,Hans Dreier,,,,
3,Best Art Direction,0,TRUE,https://en.wikipedia.org/wiki/Sally_(1929_film),Sally,,,,
3,Best Art Direction,1,FALSE,https://en.wikipedia.org/wiki/Jack_Okey,Jack Okey,,,,
