Year,Type,WinOrLose,Key,Item
1934,"OUTSTANDING PRODUCTION",False,"THE PRIVATE LIFE OF HENRY VIII","London Films"
1934,"OUTSTANDING PRODUCTION",False,"SHE DONE HIM WRONG","Paramount"
1934,"OUTSTANDING PRODUCTION",False,"SMILIN' THROUGH","Metro-Goldwyn-Mayer"
1934,"OUTSTANDING PRODUCTION",False,"STATE FAIR","Fox"
1934,"SHORT SUBJECT (CARTOON)",True,"THE THREE LITTLE PIGS","Walt Disney, Producer"
1934,"SHORT SUBJECT (CARTOON)",False,"BUILDING A BUILDING","Walt Disney, Producer"
1934,"SHORT SUBJECT (CARTOON)",False,"THE MERRY OLD SOUL","Walter Lantz, Producer"
1934,"SHORT SUBJECT (COMEDY)",True,"SO THIS IS HARRIS","Louis Brock, Producer"
1934,"SHORT SUBJECT (COMEDY)",False,"MISTER MUGG","Warren Doane, Producer"
1934,"SHORT SUBJECT (COMEDY)",False,"A PREFERRED LIST","Louis Brock, Producer"
1934,"SHORT SUBJECT (NOVELTY)",True,"KRAKATOA","Joe Rock, Producer"
1934,"SHORT SUBJECT (NOVELTY)",False,"MENU","Pete Smith, Producer"
1934,"SHORT SUBJECT (NOVELTY)",False,"THE SEA","Educational"
1934,"SOUND RECORDING",True,"A FAREWELL TO ARMS","Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1934,"SOUND RECORDING",False,"42ND STREET","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
1934,"SOUND RECORDING",False,"GOLD DIGGERS OF 1933","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
1934,"SOUND RECORDING",False,"I AM A FUGITIVE FROM A CHAIN GANG","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director"
1934,"WRITING (ADAPTATION)",True,"LITTLE WOMEN","Victor Heerman, Sarah Y. Mason"
1934,"WRITING (ADAPTATION)",False,"LADY FOR A DAY","Robert Riskin"
1934,"WRITING (ADAPTATION)",False,"STATE FAIR","Paul Green, Sonya Levien"
1934,"WRITING (ORIGINAL STORY)",True,"ONE WAY PASSAGE","Robert Lord"
1934,"WRITING (ORIGINAL STORY)",False,"THE PRIZEFIGHTER AND THE LADY","Frances Marion"
1934,"WRITING (ORIGINAL STORY)",False,"RASPUTIN AND THE EMPRESS","Charles MacArthur"
1935,"ACTOR",True,"CLARK GABLE","It Happened One Night"
1935,"ACTOR",False,"FRANK MORGAN","The Affairs of Cellini"
1935,"ACTOR",False,"WILLIAM POWELL","The Thin Man"
1935,"ACTRESS",True,"CLAUDETTE COLBERT","It Happened One Night"
1935,"ACTRESS",False,"BETTE DAVIS","Of Human Bondage"
1935,"ACTRESS",False,"GRACE MOORE","One Night of Love"
1935,"ACTRESS",False,"NORMA SHEARER","The Barretts of Wimpole Street"
1935,"ART DIRECTION",True,"THE MERRY WIDOW","Cedric Gibbons, Frederic Hope"
1935,"ART DIRECTION",False,"THE AFFAIRS OF CELLINI","Richard Day"
1935,"ART DIRECTION",False,"THE GAY DIVORCEE","Van Nest Polglase, Carroll Clark"
1935,"ASSISTANT DIRECTOR",True,"VIVA VILLA!","John Waters"
1935,"ASSISTANT DIRECTOR",False,"CLEOPATRA","Cullen Tate"
1935,"ASSISTANT DIRECTOR",False,"IMITATION OF LIFE","Scott Beal"
1935,"CINEMATOGRAPHY",True,"CLEOPATRA","Victor Milner"
1935,"CINEMATOGRAPHY",False,"THE AFFAIRS OF CELLINI","Charles Rosher"
1935,"CINEMATOGRAPHY",False,"OPERATOR 13","George Folsey"
1935,"DIRECTING",True,"IT HAPPENED ONE NIGHT","Frank Capra"
1935,"DIRECTING",False,"ONE NIGHT OF LOVE","Victor Schertzinger"
1935,"DIRECTING",False,"THE THIN MAN","W. S. Van Dyke"
1935,"FILM EDITING",True,"ESKIMO","Conrad Nervig"
1935,"FILM EDITING",False,"CLEOPATRA","Anne Bauchens"
1935,"FILM EDITING",False,"ONE NIGHT OF LOVE","Gene Milford"
1935,"MUSIC (SCORING)",True,"ONE NIGHT OF LOVE","Columbia Studio Music Department, Louis Silvers, head of department (Thematic Music by Victor Schertzinger and Gus Kahn)"
1935,"MUSIC (SCORING)",False,"THE GAY DIVORCEE","RKO Radio Studio Music Department, Max Steiner, head of department (Score by Kenneth Webb and Samuel Hoffenstein)"
1935,"MUSIC (SCORING)",False,"THE LOST PATROL","RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner)"
1935,"MUSIC (SONG)",True,"THE GAY DIVORCEE","The Continental in |The Gay Divorcee| Music by Con Conrad; Lyrics by Herb Magidson"
1935,"MUSIC (SONG)",False,"FLYING DOWN TO RIO","Carioca in |Flying Down to Rio| Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn"
1935,"MUSIC (SONG)",False,"SHE LOVES ME NOT","Love In Bloom in |She Loves Me Not| Music by Ralph Rainger; Lyrics by Leo Robin"
1935,"OUTSTANDING PRODUCTION",True,"IT HAPPENED ONE NIGHT","Columbia"
1935,"OUTSTANDING PRODUCTION",False,"THE BARRETTS OF WIMPOLE STREET","Metro-Goldwyn-Mayer"
1935,"OUTSTANDING PRODUCTION",False,"CLEOPATRA","Paramount"
1935,"OUTSTANDING PRODUCTION",False,"FLIRTATION WALK","First National"
1935,"OUTSTANDING PRODUCTION",False,"THE GAY DIVORCEE","RKO Radio"
1935,"OUTSTANDING PRODUCTION",False,"HERE COMES THE NAVY","Warner Bros."
1935,"OUTSTANDING PRODUCTION",False,"THE HOUSE OF ROTHSCHILD","20th Century"
1935,"OUTSTANDING PRODUCTION",False,"IMITATION OF LIFE","Universal"
1935,"OUTSTANDING PRODUCTION",False,"ONE NIGHT OF LOVE","Columbia"
1935,"OUTSTANDING PRODUCTION",False,"THE THIN MAN","Metro-Goldwyn-Mayer"
1935,"OUTSTANDING PRODUCTION",False,"VIVA VILLA!","Metro-Goldwyn-Mayer"
1935,"OUTSTANDING PRODUCTION",False,"THE WHITE PARADE","Jesse L. Lasky (production company)"
1935,"SHORT SUBJECT (CARTOON)",True,"THE TORTOISE AND THE HARE","Walt Disney, Producer"
1935,"SHORT SUBJECT (CARTOON)",False,"HOLIDAY LAND","Charles Mintz, Producer"
1935,"SHORT SUBJECT (CARTOON)",False,"JOLLY LITTLE ELVES","Walter Lantz, Producer"
1935,"SHORT SUBJECT (COMEDY)",True,"LA CUCARACHA","Kenneth Macgowan, Producer"
1935,"SHORT SUBJECT (COMEDY)",False,"MEN IN BLACK","Jules White, Producer"
1935,"SHORT SUBJECT (COMEDY)",False,"WHAT, NO MEN!","Warner Bros."
1935,"SHORT SUBJECT (NOVELTY)",True,"CITY OF WAX","Stacy Woodard and Horace Woodard, Producers"
1935,"SHORT SUBJECT (NOVELTY)",False,"BOSOM FRIENDS","Skibo Productions"
1935,"SHORT SUBJECT (NOVELTY)",False,"STRIKES AND SPARES","Pete Smith, Producer"
1935,"SOUND RECORDING",True,"ONE NIGHT OF LOVE","Columbia Studio Sound Department, John Livadary, Sound Director"
1935,"SOUND RECORDING",False,"THE AFFAIRS OF CELLINI","United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
