Year,Type,Content,Title,Description,Youtube,Url
1946,"BEST SCORE","Spellbound","Miklos Rozsa with presenter Ginger Rogers","","https://www.oscars.org/sites/oscars/files/1945_memorable_musicscore_rozsa_ginger_rogers.jpg"
1946,"SHORT SUBJECT","Quiet Please","Fred Quimby","","https://www.oscars.org/sites/oscars/files/1945_fred_quimby.jpg"
1946,"CINEMATOGRAPHY","The Picture of Dorian Gray","Harry Stradling, with presenter D.W. Griffith","","https://www.oscars.org/sites/oscars/files/1945_cinematography_stradling.jpg"
1946,"Ray Milland","Ray Milland","Best Actor winner for The Lost Weekend","","https://www.oscars.org/sites/oscars/files/1945_02_actor_milland.jpg"
1946,"Joan Crawford","Joan Crawford","Best Actress winner for Mildred Pierce","","https://www.oscars.org/sites/oscars/files/1945_iconic_actress_crawford.jpg"
1946,"Billy Wilder","Billy Wilder","Best Directing winner for The Lost Weekend","","https://www.oscars.org/sites/oscars/files/18th_highlight_director_billy_wilder.jpg"
1946,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1945_memorable_cinematography_harry_stradling_presenter_d_w_griffith_2_0.jpg?itok=5KZzZd97
1947,"SUPPORTING ACTRESS","The Razor&#039;s Edge","Anne Baxter","","https://www.oscars.org/sites/oscars/files/1946_03_supporting_baxter.jpg"
1947,"CINEMATOGRAPHY","The Yearling","Charles Rosher, Leonard Smith, Arthur Arling","","https://www.oscars.org/sites/oscars/files/1946_iconic_cinematography_still_yearling.jpg"
1947,"SPECIAL AWARD","","Ernst Lubitsch","","https://www.oscars.org/sites/oscars/files/1946_special_ernst_lubitsch.jpg"
1947,"The Best Years of Our Lives","The Best Years of Our Lives","Best Picture and Irving G. Thalberg Memorial Award recipient Samuel Goldwyn, Supporting Actor and Special Award recipient Harold Russell and Best Directing winner William Wyler","","https://www.oscars.org/sites/oscars/files/1946_iconic_alt_goldwyn_russell_wyler.jpg"
1947,"Olivia de Havilland","Olivia de Havilland","Best Actress winner for To Each His Own, with presenter Ray Milland","","https://www.oscars.org/sites/oscars/files/1946_02_actress_dehavilland_milland.jpg"
1947,"Elizabeth Taylor","Elizabeth Taylor","with Marshall Thompson at the Academy Awards","","https://www.oscars.org/sites/oscars/files/20_elizabeth_taylor.jpg"
1947,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/19_memorable_actress_olivia_dehavilland_presenter_ray_milland.jpg?itok=1DMltGZ-
1948,"SUPPORTING ACTOR","Miracle on 34th Street","Edmund Gwenn","https://www.youtube.com/watch?v=BqOH9T0KgSs","https://www.oscars.org/vef/load/0059438e3e537db95bb047eecac55fa2?width=640&height=365&iframe=true"
1948,"SURVIVING NEWSREEL FOOTAGE","","Highlights from the ceremony with Celeste Holm, Ronald Colman, Loretta Young and more","https://www.youtube.com/watch?v=y7JNv4Et4Jk","https://www.oscars.org/vef/load/0b077d51bdcd0decad1a5a7240954a57?width=640&height=365&iframe=true"
1948,"MUSICAL SCORE","Mother Wore Tights","Alfred Newman with Donald Crisp","","https://www.oscars.org/sites/oscars/files/1947_02_musicalscore_newman.jpg"
1948,"Joan Crawford","Joan Crawford","Arriving at the Oscars with Greg Bautzer","","https://www.oscars.org/sites/oscars/files/1947_crawford_arrival.jpg"
1948,"James Baskett","James Baskett","A Special Award for Song of the South, presented by Jean Hersholt and Ingrid Bergman","","https://www.oscars.org/sites/oscars/files/1947_view_specialaward_baskett_hersholt_bergman.jpg"
1948,"Loretta Young","Loretta Young","Best Actress winner for The Farmer&#039;s Daughter","","https://www.oscars.org/sites/oscars/files/20_highlight_actress_loretta_young.jpg"
1948,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1947_crawford_arrival_0.jpg?itok=OoYcOUO4
1949,"BEST ACTRESS","Johnny Belinda","Jane Wyman","https://www.youtube.com/watch?v=nchzM4uAvkg","https://www.oscars.org/vef/load/145961f5acb148a46799ca681d62454f?width=640&height=365&iframe=true"
